embedding_model,fusion_method,repeat,fold,source,layer,inner_fold,C,mean_inner_roc_auc,selected,level,model_name
model_1_all_mpnet_base_v2,late_fusion,1,4,P,source,3.0,0.01,0.7801509492685964,False,,
model_1_all_mpnet_base_v2,late_fusion,1,4,P,source,3.0,0.1,0.7753851540616247,False,,
model_1_all_mpnet_base_v2,late_fusion,1,4,P,source,3.0,1.0,0.789488017429194,False,,
model_1_all_mpnet_base_v2,late_fusion,1,4,P,source,3.0,10.0,0.80650871459695,True,,
model_1_all_mpnet_base_v2,late_fusion,1,4,P,source_outer_full,0.0,0.1,0.7849218682552016,True,,
model_1_all_mpnet_base_v2,late_fusion,1,4,I,source,1.0,0.01,0.6640795206971678,False,,
model_1_all_mpnet_base_v2,late_fusion,1,4,I,source,1.0,0.1,0.6642156862745098,True,,
model_1_all_mpnet_base_v2,late_fusion,1,4,I,source,1.0,1.0,0.6569989106753813,False,,
model_1_all_mpnet_base_v2,late_fusion,1,4,I,source,1.0,10.0,0.6422930283224401,False,,
model_1_all_mpnet_base_v2,late_fusion,1,4,I,source,2.0,0.01,0.7033146591970122,False,,
model_1_all_mpnet_base_v2,late_fusion,1,4,I,source,2.0,0.1,0.7033146591970122,False,,
model_1_all_mpnet_base_v2,late_fusion,1,4,I,source,2.0,1.0,0.7054933084344849,True,,
model_1_all_mpnet_base_v2,late_fusion,1,4,I,source,2.0,10.0,0.6867608154372861,False,,
model_1_all_mpnet_base_v2,late_fusion,1,4,I,source,3.0,0.01,0.754143323996265,False,,
model_1_all_mpnet_base_v2,late_fusion,1,4,I,source,3.0,0.1,0.7590452847805788,True,,
model_1_all_mpnet_base_v2,late_fusion,1,4,I,source,3.0,1.0,0.7444950202303143,False,,
model_1_all_mpnet_base_v2,late_fusion,1,4,I,source,3.0,10.0,0.7144607843137255,False,,
model_1_all_mpnet_base_v2,late_fusion,1,4,I,source_outer_full,0.0,0.01,0.7483812483812483,True,,
model_1_all_mpnet_base_v2,late_fusion,1,4,second_layer,,,0.01,0.6815160148493482,True,L1,base
model_1_all_mpnet_base_v2,late_fusion,1,4,second_layer,,,0.1,0.6815160148493482,False,L1,base
model_1_all_mpnet_base_v2,late_fusion,1,4,second_layer,,,1.0,0.6815160148493482,False,L1,base
model_1_all_mpnet_base_v2,late_fusion,1,4,second_layer,,,10.0,0.6815160148493482,False,L1,base
model_1_all_mpnet_base_v2,late_fusion,1,4,second_layer,,,0.01,0.7077182077182077,True,L1,augmented
model_1_all_mpnet_base_v2,late_fusion,1,4,second_layer,,,0.1,0.7013079513079513,False,L1,augmented
model_1_all_mpnet_base_v2,late_fusion,1,4,second_layer,,,1.0,0.6968725718725718,False,L1,augmented
model_1_all_mpnet_base_v2,late_fusion,1,4,second_layer,,,10.0,0.6958041958041958,False,L1,augmented
model_1_all_mpnet_base_v2,late_fusion,1,4,second_layer,,,0.01,0.6777497194163861,True,L2,base
model_1_all_mpnet_base_v2,late_fusion,1,4,second_layer,,,0.1,0.6660947077613744,False,L2,base
model_1_all_mpnet_base_v2,late_fusion,1,4,second_layer,,,1.0,0.6473387723387725,False,L2,base
model_1_all_mpnet_base_v2,late_fusion,1,4,second_layer,,,10.0,0.6451480618147286,False,L2,base
model_1_all_mpnet_base_v2,late_fusion,1,4,second_layer,,,0.01,0.6854981438314772,True,L2,augmented
model_1_all_mpnet_base_v2,late_fusion,1,4,second_layer,,,0.1,0.6772101355434689,False,L2,augmented
model_1_all_mpnet_base_v2,late_fusion,1,4,second_layer,,,1.0,0.66508029008029,False,L2,augmented
model_1_all_mpnet_base_v2,late_fusion,1,4,second_layer,,,10.0,0.6522058188724854,False,L2,augmented
model_1_all_mpnet_base_v2,late_fusion,1,4,second_layer,,,0.01,0.787252870586204,True,L3,base
model_1_all_mpnet_base_v2,late_fusion,1,4,second_layer,,,0.1,0.7864542864542865,False,L3,base
model_1_all_mpnet_base_v2,late_fusion,1,4,second_layer,,,1.0,0.769036519036519,False,L3,base
model_1_all_mpnet_base_v2,late_fusion,1,4,second_layer,,,10.0,0.7668997668997669,False,L3,base
model_1_all_mpnet_base_v2,late_fusion,1,4,second_layer,,,0.01,0.7983682983682984,True,L3,augmented
model_1_all_mpnet_base_v2,late_fusion,1,4,second_layer,,,0.1,0.7876845376845377,False,L3,augmented
model_1_all_mpnet_base_v2,late_fusion,1,4,second_layer,,,1.0,0.7648169731503064,False,L3,augmented
model_1_all_mpnet_base_v2,late_fusion,1,4,second_layer,,,10.0,0.767968142968143,False,L3,augmented
model_1_all_mpnet_base_v2,late_fusion,1,4,second_layer,,,0.01,0.7976776310109642,True,L4,base
model_1_all_mpnet_base_v2,late_fusion,1,4,second_layer,,,0.1,0.7963934213934215,False,L4,base
model_1_all_mpnet_base_v2,late_fusion,1,4,second_layer,,,1.0,0.7876845376845377,False,L4,base
model_1_all_mpnet_base_v2,late_fusion,1,4,second_layer,,,10.0,0.7758244841578175,False,L4,base
model_1_all_mpnet_base_v2,late_fusion,1,4,second_layer,,,0.01,0.7989618406285072,True,L4,augmented
model_1_all_mpnet_base_v2,late_fusion,1,4,second_layer,,,0.1,0.7889147889147888,False,L4,augmented
model_1_all_mpnet_base_v2,late_fusion,1,4,second_layer,,,1.0,0.7716049382716049,False,L4,augmented
model_1_all_mpnet_base_v2,late_fusion,1,4,second_layer,,,10.0,0.7585146335146336,False,L4,augmented
model_1_all_mpnet_base_v2,late_fusion,1,5,P,source,1.0,0.01,0.7534235916588857,False,,
model_1_all_mpnet_base_v2,late_fusion,1,5,P,source,1.0,0.1,0.7535597572362279,False,,
model_1_all_mpnet_base_v2,late_fusion,1,5,P,source,1.0,1.0,0.7527038593215064,False,,
model_1_all_mpnet_base_v2,late_fusion,1,5,P,source,1.0,10.0,0.754104419545596,True,,
model_1_all_mpnet_base_v2,late_fusion,1,5,P,source,2.0,0.01,0.718312324929972,False,,
model_1_all_mpnet_base_v2,late_fusion,1,5,P,source,2.0,0.1,0.7207633053221288,True,,
model_1_all_mpnet_base_v2,late_fusion,1,5,P,source,2.0,1.0,0.7164060068471834,False,,
model_1_all_mpnet_base_v2,late_fusion,1,5,P,source,2.0,10.0,0.6891534391534391,False,,
model_1_all_mpnet_base_v2,late_fusion,1,5,P,source,3.0,0.01,0.7830687830687829,True,,
model_1_all_mpnet_base_v2,late_fusion,1,5,P,source,3.0,0.1,0.7830687830687829,False,,
model_1_all_mpnet_base_v2,late_fusion,1,5,P,source,3.0,1.0,0.7777777777777777,False,,
model_1_all_mpnet_base_v2,late_fusion,1,5,P,source,3.0,10.0,0.7559523809523809,False,,
model_1_all_mpnet_base_v2,late_fusion,1,5,P,source_outer_full,0.0,0.01,0.762917637917638,True,,
model_1_all_mpnet_base_v2,late_fusion,1,5,I,source,1.0,0.01,0.7628968253968255,True,,
model_1_all_mpnet_base_v2,late_fusion,1,5,I,source,1.0,0.1,0.7602513227513228,False,,
model_1_all_mpnet_base_v2,late_fusion,1,5,I,source,1.0,1.0,0.7574112978524742,False,,
model_1_all_mpnet_base_v2,late_fusion,1,5,I,source,1.0,10.0,0.7516534391534392,False,,
model_1_all_mpnet_base_v2,late_fusion,1,5,I,source,2.0,0.01,0.7116207594148771,False,,
model_1_all_mpnet_base_v2,late_fusion,1,5,I,source,2.0,0.1,0.7114262371615313,False,,
model_1_all_mpnet_base_v2,late_fusion,1,5,I,source,2.0,1.0,0.7193627450980392,True,,
model_1_all_mpnet_base_v2,late_fusion,1,5,I,source,2.0,10.0,0.6854186118892001,False,,
model_1_all_mpnet_base_v2,late_fusion,1,5,I,source,3.0,0.01,0.6683201058201057,True,,
model_1_all_mpnet_base_v2,late_fusion,1,5,I,source,3.0,0.1,0.667989417989418,False,,
model_1_all_mpnet_base_v2,late_fusion,1,5,I,source,3.0,1.0,0.6610449735449735,False,,
model_1_all_mpnet_base_v2,late_fusion,1,5,I,source,3.0,10.0,0.6378968253968255,False,,
model_1_all_mpnet_base_v2,late_fusion,1,5,I,source_outer_full,0.0,0.01,0.753010878010878,True,,
model_1_all_mpnet_base_v2,late_fusion,1,5,second_layer,,,0.01,0.7568095484762152,True,L1,base
model_1_all_mpnet_base_v2,late_fusion,1,5,second_layer,,,0.1,0.7568095484762152,False,L1,base
