embedding,fusion,repeat,level,base_auc,augmented_auc,delta_auc,base_pr_auc,augmented_pr_auc,delta_pr_auc,base_brier,augmented_brier,delta_brier,base_log_loss,augmented_log_loss,delta_log_loss,n
model_2_bge_large_en_v1_5,late_fusion,1,L4,0.7761334272962179,0.8111346018322761,0.03500117453605822,0.6369965333658871,0.6575161719997108,0.020519638633823667,0.19675006098579362,0.19620870781308866,0.0005413531727049559,0.5809673636136122,0.5821199388070587,-0.00115257519344647,142
model_2_bge_large_en_v1_5,late_fusion,2,L1,0.6236786469344608,0.7810664787408973,0.15738783180643645,0.408753107682413,0.6047489041668932,0.19599579648448018,0.2507897358412771,0.209525465374035,0.041264270467242126,0.6947034291544882,0.61069805837763,0.08400537077685821,142
model_2_bge_large_en_v1_5,late_fusion,2,L2,0.6925064599483204,0.79328165374677,0.10077519379844957,0.4782523530793723,0.6507965916309111,0.17254423855153878,0.2355662969733904,0.19209365800967707,0.04347263896371334,0.664070993483892,0.5637528774873907,0.10031811599650131,142
model_2_bge_large_en_v1_5,late_fusion,2,L3,0.7982147051914493,0.855297157622739,0.05708245243128962,0.6585428721055089,0.7558640920165592,0.09732121991105036,0.20647759502373234,0.1847187493578723,0.021758845665860033,0.6027108869814004,0.5536267595647629,0.04908412741663748,142
model_2_bge_large_en_v1_5,late_fusion,2,L4,0.812778952313836,0.8400281888653982,0.027249236551562195,0.7055710211254738,0.7416785478813468,0.03610752675587303,0.20466000953861516,0.18394303230969355,0.0207169772289216,0.5983658161456396,0.5514849680530591,0.04688084809258042,142
model_2_bge_large_en_v1_5,late_fusion,3,L1,0.6997885835095138,0.7620389945971341,0.062250411087620305,0.5158122292055145,0.6257343956698189,0.10992216646430442,0.24360956410333376,0.21197744328682253,0.03163212081651123,0.6802802658491415,0.7535834415698554,-0.07330317572071388,142
model_2_bge_large_en_v1_5,late_fusion,3,L2,0.7089499647639184,0.7885835095137421,0.07963354474982376,0.5130914110964733,0.6759863172345686,0.16289490613809532,0.22632623735282933,0.19834333529820558,0.027982902054623754,0.6446945707144343,0.5906454272603998,0.05404914345403444,142
model_2_bge_large_en_v1_5,late_fusion,3,L3,0.8195912614517266,0.8249941273197087,0.0054028658679821095,0.7043288808228308,0.7185064838582308,0.014177603035399944,0.19630869984681373,0.1960098576149883,0.00029884223182544134,0.5786104786354054,0.7198478531692217,-0.14123737453381635,142
model_2_bge_large_en_v1_5,late_fusion,3,L4,0.8282828282828283,0.829927178764388,0.0016443504815597532,0.7297903002260955,0.7461162457356162,0.016325945509520712,0.19734999460770242,0.18376887587494334,0.013581118732759079,0.5831339167133821,0.557922749369703,0.02521116734367912,142
model_2_bge_large_en_v1_5,late_fusion,4,L1,0.6694855532064834,0.7552266854592435,0.08574113225276014,0.503487340583433,0.607654889160939,0.10416754857750599,0.23361961549932225,0.2089503361163091,0.024669279383013165,0.6582791883265381,0.606365240164279,0.05191394816225914,142
model_2_bge_large_en_v1_5,late_fusion,4,L2,0.6586798214705191,0.7305614282358467,0.07188160676532762,0.5141136957628333,0.581284399908367,0.06717070414553372,0.22241746706765517,0.21645209851664193,0.005965368551013234,0.6313945091751815,0.6414573894893665,-0.010062880314185008,142
model_2_bge_large_en_v1_5,late_fusion,4,L3,0.7650927883486023,0.8339206013624618,0.06882781301385954,0.6286713041340549,0.7448084406086433,0.11613713647458834,0.20781668681071638,0.1909658671564891,0.016850819654227273,0.6267211349902093,0.5696558800453522,0.05706525494485715,142
model_2_bge_large_en_v1_5,late_fusion,4,L4,0.8043222926943857,0.8083157152924595,0.003993422598073781,0.7176919918427888,0.7237019225482497,0.006009930705460964,0.1965378446741793,0.19005477221562997,0.006483072458549344,0.580560987653536,0.5660708735639896,0.01449011408954648,142
model_2_bge_large_en_v1_5,late_fusion,5,L1,0.599483204134367,0.7138830162085976,0.11439981207423067,0.4024168769632511,0.580020328447195,0.17760345148394385,0.24638706156913484,0.23743472267936955,0.008952338889765293,0.6856912061674427,0.6675616717608553,0.018129534406587378,142
model_2_bge_large_en_v1_5,late_fusion,5,L2,0.6758280479210712,0.7361992013154803,0.06037115339440913,0.497521327311378,0.5441520097925574,0.04663068248117941,0.2301036499879374,0.2244992090112149,0.005604440976722497,0.6526976138961176,0.6407980171470589,0.011899596749058716,142
model_2_bge_large_en_v1_5,late_fusion,5,L3,0.7888184167253934,0.7813013859525487,-0.007517030772844713,0.6683152488933108,0.6914329797299813,0.023117730836670458,0.19500317542196008,0.19763235368370868,-0.002629178261748605,0.5752718265351591,0.5818329262379138,-0.006561099702754758,142
model_2_bge_large_en_v1_5,late_fusion,5,L4,0.8219403335682407,0.833450786939159,0.011510453370918272,0.7247682097190149,0.7366382191557292,0.011870009436714346,0.20026387164049472,0.19036795602219989,0.009895915618294837,0.5894610909958612,0.5662758064497793,0.02318528454608193,142
model_2_bge_large_en_v1_5,late_fusion,6,L1,0.6964998825463942,0.7547568710359407,0.058256988489546524,0.4941773781351724,0.5176385880787827,0.02346120994361034,0.25241607120562753,0.2261744916369752,0.026241579568652335,1.1662184479495128,1.3872019121721655,-0.2209834642226527,142
