embedding_model,repeat,condition,draw_id,model_level,fusion_method,n,auc,pr_auc,brier,log_loss
model_1_all_mpnet_base_v2,6,random,50,L1,early_concat,142,0.7124735729386893,0.5657292604952963,0.22845528352430847,0.6482165111853624
model_1_all_mpnet_base_v2,6,real,0,L1,early_concat,142,0.757810664787409,0.6257911199137375,0.22633349930105734,0.6455946768670444
model_1_all_mpnet_base_v2,7,matched,1,L1,early_concat,142,0.7373737373737373,0.5608281397700126,0.2403826947406449,0.6735266383899781
model_1_all_mpnet_base_v2,7,matched,2,L1,early_concat,142,0.7134132017852949,0.562266221664671,0.2399859671627011,0.6726322651412149
model_1_all_mpnet_base_v2,7,matched,3,L1,early_concat,142,0.7559314070941978,0.6191082152510958,0.24092679277785894,0.6745120727192062
model_1_all_mpnet_base_v2,7,matched,4,L1,early_concat,142,0.7423067888184167,0.5839244678647516,0.24656790791181163,0.686277433481485
model_1_all_mpnet_base_v2,7,matched,5,L1,early_concat,142,0.7479445618980503,0.6014555510851517,0.24136715032431155,0.6754339350119368
model_1_all_mpnet_base_v2,7,matched,6,L1,early_concat,142,0.7599248296922714,0.6238353050383229,0.24778680157344404,0.6887172094952083
model_1_all_mpnet_base_v2,7,matched,7,L1,early_concat,142,0.6927413671599718,0.5574061365779015,0.23303486231193155,0.658366300982026
model_1_all_mpnet_base_v2,7,matched,8,L1,early_concat,142,0.7453605825698849,0.5968553970632031,0.23844704863566515,0.6696092178006339
model_1_all_mpnet_base_v2,7,matched,9,L1,early_concat,142,0.7434813248766736,0.5918247652924722,0.23988235658272783,0.67246561417216
model_1_all_mpnet_base_v2,7,matched,10,L1,early_concat,142,0.7526427061310782,0.6186887849316051,0.24792727494865338,0.6889985710512073
model_1_all_mpnet_base_v2,7,matched,11,L1,early_concat,142,0.7559314070941978,0.6141486543563349,0.24143360229844965,0.6755735051095911
model_1_all_mpnet_base_v2,7,matched,12,L1,early_concat,142,0.7157622739018088,0.5579936435774753,0.240345343406287,0.6733741144403488
model_1_all_mpnet_base_v2,7,matched,13,L1,early_concat,142,0.7157622739018088,0.5823002035134424,0.24660260376884724,0.6863466805292272
model_1_all_mpnet_base_v2,7,matched,14,L1,early_concat,142,0.751937984496124,0.6047076680754004,0.2412235122688824,0.6751617712974954
model_1_all_mpnet_base_v2,7,matched,15,L1,early_concat,142,0.7249236551562134,0.5668371421087877,0.2402271848638937,0.674450486890423
model_1_all_mpnet_base_v2,7,matched,16,L1,early_concat,142,0.7526427061310782,0.6186887849316051,0.24792727494865338,0.6889985710512073
model_1_all_mpnet_base_v2,7,matched,17,L1,early_concat,142,0.7467700258397932,0.5987970907809516,0.24128961212169042,0.6752739330131782
model_1_all_mpnet_base_v2,7,matched,18,L1,early_concat,142,0.7556964998825463,0.6219509309297071,0.2478533834689312,0.688850464449099
model_1_all_mpnet_base_v2,7,matched,19,L1,early_concat,142,0.7223396758280478,0.5895347364784043,0.24643848734667212,0.686017872446064
model_1_all_mpnet_base_v2,7,matched,20,L1,early_concat,142,0.7190509748649283,0.568605288698095,0.23751336380397348,0.6677170717076035
model_1_all_mpnet_base_v2,7,matched,21,L1,early_concat,142,0.758985200845666,0.6202636628030235,0.24117100914768896,0.6749824978207335
model_1_all_mpnet_base_v2,7,matched,22,L1,early_concat,142,0.7148226450552032,0.5506662788318324,0.23875057365579758,0.6702345422996311
model_1_all_mpnet_base_v2,7,matched,23,L1,early_concat,142,0.7735494479680526,0.6621961869337339,0.24941017970926063,0.6919675240746267
model_1_all_mpnet_base_v2,7,matched,24,L1,early_concat,142,0.7465351186281419,0.5988139522761169,0.24138072794662305,0.6754552854510764
model_1_all_mpnet_base_v2,7,matched,25,L1,early_concat,142,0.7432464176650224,0.5772494468740746,0.23982188271069235,0.6723710933157134
model_1_all_mpnet_base_v2,7,matched,26,L1,early_concat,142,0.7256283767911675,0.5613852050636963,0.23982015377659868,0.6731932025195131
model_1_all_mpnet_base_v2,7,matched,27,L1,early_concat,142,0.712943387361992,0.5569314977569955,0.24008064635885557,0.6728072240440458
model_1_all_mpnet_base_v2,7,matched,28,L1,early_concat,142,0.712943387361992,0.5546636009466096,0.238776063789875,0.6702506649978917
model_1_all_mpnet_base_v2,7,matched,29,L1,early_concat,142,0.7209302325581395,0.5929915794917355,0.24536966739554064,0.6838796713479329
model_1_all_mpnet_base_v2,7,matched,30,L1,early_concat,142,0.74958891237961,0.6023392405632337,0.24118996777490115,0.6750631633853414
model_1_all_mpnet_base_v2,7,matched,31,L1,early_concat,142,0.7580455719990603,0.6261670077095141,0.2478103568924502,0.6887643766899136
model_1_all_mpnet_base_v2,7,matched,32,L1,early_concat,142,0.7526427061310781,0.5978759822068644,0.24093574125091272,0.6767917462480227
model_1_all_mpnet_base_v2,7,matched,33,L1,early_concat,142,0.7535823349776838,0.606255702988136,0.241451587484603,0.675595105196041
model_1_all_mpnet_base_v2,7,matched,34,L1,early_concat,142,0.7704956542165844,0.6609980193667335,0.24942299755048494,0.691993160361662
model_1_all_mpnet_base_v2,7,matched,35,L1,early_concat,142,0.758985200845666,0.6202636628030235,0.24117100914768896,0.6749824978207335
model_1_all_mpnet_base_v2,7,matched,36,L1,early_concat,142,0.7404275311252055,0.5826862895247099,0.23832928068370163,0.6694090703331823
model_1_all_mpnet_base_v2,7,matched,37,L1,early_concat,142,0.7307963354474983,0.5722654194863097,0.2395466190478993,0.673337331436658
model_1_all_mpnet_base_v2,7,matched,38,L1,early_concat,142,0.7498238195912613,0.6232775053589157,0.2459915578285727,0.6851240813002825
model_1_all_mpnet_base_v2,7,matched,39,L1,early_concat,142,0.7528776133427295,0.6010054337433192,0.2412115865094341,0.6750986905255709
model_1_all_mpnet_base_v2,7,matched,40,L1,early_concat,142,0.7524077989194269,0.5916767862992617,0.2416360210250284,0.6759818227998585
model_1_all_mpnet_base_v2,7,matched,41,L1,early_concat,142,0.7758985200845666,0.6578887656464438,0.2494022372155136,0.6919516386329668
model_1_all_mpnet_base_v2,7,matched,42,L1,early_concat,142,0.7392529950669485,0.5746915112217402,0.24002791961497558,0.6727692403738234
model_1_all_mpnet_base_v2,7,matched,43,L1,early_concat,142,0.7390180878552972,0.5796165482895683,0.2452868787437046,0.6837139761249564
model_1_all_mpnet_base_v2,7,matched,44,L1,early_concat,142,0.737138830162086,0.5681987760025273,0.2403904055713128,0.6735005093999156
model_1_all_mpnet_base_v2,7,matched,45,L1,early_concat,142,0.7509983556495184,0.6100611045872115,0.24793552492473442,0.6890149825173949
model_1_all_mpnet_base_v2,7,matched,46,L1,early_concat,142,0.7446558609349307,0.5728587983680096,0.24062309302414495,0.6739680619521126
model_1_all_mpnet_base_v2,7,matched,47,L1,early_concat,142,0.7439511392999764,0.588860009365862,0.24086646315237165,0.6767020874084323
model_1_all_mpnet_base_v2,7,matched,48,L1,early_concat,142,0.7094197791872211,0.5496857521780747,0.24012603706392946,0.6729674227129859
model_1_all_mpnet_base_v2,7,matched,49,L1,early_concat,142,0.7432464176650224,0.5772494468740746,0.23982188271069235,0.6723710933157134
model_1_all_mpnet_base_v2,7,matched,50,L1,early_concat,142,0.7528776133427295,0.6013737742370583,0.24136567238489112,0.6753873872865195
model_1_all_mpnet_base_v2,7,random,1,L1,early_concat,142,0.7547568710359408,0.6221355711808594,0.23111638451647715,0.6553694897793427
model_1_all_mpnet_base_v2,7,random,2,L1,early_concat,142,0.7340850364106177,0.5833685250259274,0.22013634601646656,0.6327552960860098
model_1_all_mpnet_base_v2,7,random,3,L1,early_concat,142,0.7087150575522668,0.5786185822973369,0.21576514655766,0.6207816742968616
model_1_all_mpnet_base_v2,7,random,4,L1,early_concat,142,0.7580455719990604,0.624292493437086,0.23365758146266938,0.6598710341959468
model_1_all_mpnet_base_v2,7,random,5,L1,early_concat,142,0.7310312426591496,0.5724568902867437,0.22391550318410786,0.6433442612303442
model_1_all_mpnet_base_v2,7,random,6,L1,early_concat,142,0.7044867277425416,0.5563828946787497,0.23264384214029402,0.6602916651908113
model_1_all_mpnet_base_v2,7,random,7,L1,early_concat,142,0.689922480620155,0.5380210516057173,0.22710553244579845,0.6504731226105047
model_1_all_mpnet_base_v2,7,random,8,L1,early_concat,142,0.6664317594550153,0.5151898295922805,0.2344386831513201,0.6664869365424434
model_1_all_mpnet_base_v2,7,random,9,L1,early_concat,142,0.7448907681465822,0.6043224798415947,0.21423750982411194,0.621143842058934
model_1_all_mpnet_base_v2,7,random,10,L1,early_concat,142,0.6913319238900635,0.534984127289047,0.2295105224678221,0.6523778631734147
model_1_all_mpnet_base_v2,7,random,11,L1,early_concat,142,0.7300916138125441,0.5845789677976876,0.23214115683214243,0.6568078751352748
model_1_all_mpnet_base_v2,7,random,12,L1,early_concat,142,0.6885130373502466,0.5244795633570951,0.22573431999896063,0.6435101049889254
model_1_all_mpnet_base_v2,7,random,13,L1,early_concat,142,0.6645525017618041,0.5006641485218614,0.23633537063794782,0.6701229851302668
model_1_all_mpnet_base_v2,7,random,14,L1,early_concat,142,0.7383133662203429,0.6079538753829404,0.19848522572285712,0.5851140064326218
model_1_all_mpnet_base_v2,7,random,15,L1,early_concat,142,0.6896875734085036,0.533967912149508,0.22136030761992023,0.6382908159836294
model_1_all_mpnet_base_v2,7,random,16,L1,early_concat,142,0.6964998825463943,0.5587084261553721,0.22877501416239449,0.6506987263343511
model_1_all_mpnet_base_v2,7,random,17,L1,early_concat,142,0.7463002114164904,0.619125536159502,0.20772430652825413,0.6007601644361295
model_1_all_mpnet_base_v2,7,random,18,L1,early_concat,142,0.7354944796805262,0.6029282197059074,0.21098887331856508,0.6158183600664506
model_1_all_mpnet_base_v2,7,random,19,L1,early_concat,142,0.7319708715057551,0.5958564291427817,0.21619753657423627,0.6204411300278841
model_1_all_mpnet_base_v2,7,random,20,L1,early_concat,142,0.7141179234202489,0.574156130733472,0.22532263356347682,0.6506053288369611
model_1_all_mpnet_base_v2,7,random,21,L1,early_concat,142,0.7096546863988724,0.5930312016256093,0.21909157453896616,0.6307098710141564
model_1_all_mpnet_base_v2,7,random,22,L1,early_concat,142,0.7089499647639183,0.575307445132343,0.2284060548160222,0.64910372210352
model_1_all_mpnet_base_v2,7,random,23,L1,early_concat,142,0.7606295513272258,0.6198154910331488,0.2441623665841575,0.6814658060533405
model_1_all_mpnet_base_v2,7,random,24,L1,early_concat,142,0.7000234907211651,0.5569804346111853,0.23439706666990145,0.6613736768138305
model_1_all_mpnet_base_v2,7,random,25,L1,early_concat,142,0.7284472633309841,0.6287020661422879,0.20491504211917771,0.5961853907265864
model_1_all_mpnet_base_v2,7,random,26,L1,early_concat,142,0.6678412027249235,0.5027537980135829,0.22731342940570612,0.6480626399126714
model_1_all_mpnet_base_v2,7,random,27,L1,early_concat,142,0.6833450786939159,0.5417046346766181,0.20836919519096428,0.6063176471231012
