embedding_model,repeat,condition,draw_id,domain_variant,model_level,fusion_method,n,base_auc,augmented_auc,delta_auc,base_pr_auc,augmented_pr_auc,delta_pr_auc,base_brier,augmented_brier,delta_brier,base_log_loss,augmented_log_loss,delta_log_loss
model_1_all_mpnet_base_v2,2,fake_d,10,Fake-D,L3,early_concat,142,0.7249236551562134,0.7408973455485083,0.015973690392294904,0.5181632977131706,0.5509495367523007,0.03278623903913014,0.20568780628585784,0.2008397839065012,0.004848022379356637,0.6082608373168031,0.6023682657503144,0.005892571566488702
model_1_all_mpnet_base_v2,2,fake_d,11,Fake-D,L3,early_concat,142,0.6678412027249236,0.6760629551327226,0.008221752407798988,0.5656748020684697,0.5719189393226313,0.006244137254161619,0.21901512305728285,0.21527687688905897,0.00373824616822388,0.6447000682582626,0.6503881190335027,-0.005688050775240039
model_1_all_mpnet_base_v2,2,fake_d,12,Fake-D,L3,early_concat,142,0.7794221282593375,0.7845900869156682,0.0051679586563306845,0.7217977153818971,0.7225895794455457,0.0007918640636486174,0.17243450925460418,0.16599149774343594,0.006443011511168245,0.5439005462712225,0.5407244626302852,0.003176083640937355
model_1_all_mpnet_base_v2,2,fake_d,13,Fake-D,L3,early_concat,142,0.7028423772609819,0.737138830162086,0.03429645290110417,0.6012641263243613,0.6064820417090809,0.005217915384719607,0.20365612451880566,0.19014577018697731,0.013510354331828345,0.6477446479649713,0.629176162227128,0.01856848573784331
model_1_all_mpnet_base_v2,2,fake_d,14,Fake-D,L3,early_concat,142,0.7155273666901574,0.7627437162320884,0.04721634954193099,0.597928057444564,0.6434594672765339,0.045531409831969905,0.19834814525271563,0.17990130682739158,0.018446838425324047,0.5793513310335184,0.5469112679432472,0.032440063090271254
model_1_all_mpnet_base_v2,2,fake_d,15,Fake-D,L3,early_concat,142,0.6821705426356589,0.7007282123561193,0.018557669720460357,0.5426301027258131,0.5650979276811936,0.022467824955380467,0.20800866756167305,0.2003103450720713,0.0076983224896017555,0.6819261680115994,0.6754324839728566,0.006493684038742842
model_1_all_mpnet_base_v2,2,fake_d,16,Fake-D,L3,early_concat,142,0.639652337326756,0.6354240075170309,-0.004228329809725095,0.5331244332648799,0.5183346445319312,-0.014789788732948672,0.22909304075111536,0.23415988265057072,-0.00506684189945536,0.6506143820684723,0.6728778892368473,-0.022263507168374996
model_1_all_mpnet_base_v2,2,fake_d,17,Fake-D,L3,early_concat,142,0.6861639652337327,0.6988489546629082,0.012684989429175508,0.602433821307999,0.609611855640525,0.007178034332525951,0.20843438352972654,0.20542990435904088,0.0030044791706856644,0.6657784119004767,0.6664066717904135,-0.0006282598899367553
model_1_all_mpnet_base_v2,2,fake_d,18,Fake-D,L3,early_concat,142,0.7075405214940098,0.7260981912144703,0.018557669720460468,0.5057937590272361,0.5488784693639938,0.04308471033675765,0.2061800653809138,0.1999103213268255,0.006269744054088283,0.6137262071061345,0.604981070467319,0.008745136638815487
model_1_all_mpnet_base_v2,2,fake_d,19,Fake-D,L3,early_concat,142,0.6819356354240076,0.6983791402396053,0.016443504815597754,0.5017711423102151,0.5134682211983826,0.011697078888167511,0.2163506550443814,0.21042532311423762,0.0059253319301437735,0.6464378052242944,0.6498778979466013,-0.003440092722306942
