record_type,representation,repeat,outer_fold,draw,partition,assignment_type,recipient_id,donor_id,self_match,one_to_one,standardized_euclidean_distance,abs_standardized_pair_difference__interviewer_word_count,abs_standardized_pair_difference__interviewer_turn_count,abs_standardized_pair_difference__clinical_question_count,abs_standardized_pair_difference__clinical_prompt_coverage_count,abs_standardized_pair_difference__non_explicit_interviewer_turn_count,abs_standardized_pair_difference__d_p_domain_breadth,abs_standardized_pair_difference__d_p_total_evidence_count
pairwise,tfidf,1,3,2,outer_test,random_mismatch,397,338,False,True,2.8390451369897423,2.274470762921454,0.7916860487444984,0.0,0.0,0.8371976430072181,1.1685088368814935,0.44031857032942073
pairwise,tfidf,1,3,2,outer_test,random_mismatch,425,356,False,True,3.1109512544855527,1.2287370788196361,0.8482350522262483,1.005615978278435,1.0583265838807767,1.0165971379373362,1.7527632553222403,1.1007964258235519
pairwise,tfidf,1,3,2,outer_test,random_mismatch,430,397,False,True,3.996409120195578,0.7494424736063029,0.7351370452627486,2.5140399456960876,2.645816459701942,1.076396969580709,0.5842544184407468,0.22015928516471037
pairwise,tfidf,1,3,2,outer_test,random_mismatch,436,395,False,True,2.08909959911818,0.1394311578802424,0.16964701044524966,0.0,0.0,0.17939949493011817,1.7527632553222403,1.1007964258235519
pairwise,tfidf,1,3,2,outer_test,random_mismatch,439,383,False,True,1.619096419479643,0.35729234206812116,1.074431066153248,0.0,0.0,1.1361968012240817,0.0,0.22015928516471037
pairwise,tfidf,1,3,2,outer_test,random_mismatch,446,474,False,True,2.3217964721148694,1.159021499879515,1.2440780765984976,0.5028079891392175,0.5291632919403884,1.255796464510827,0.5842544184407468,0.22015928516471037
pairwise,tfidf,1,3,2,outer_test,random_mismatch,447,393,False,True,1.2370160552264946,0.23529007892290904,0.16964701044524966,0.0,0.0,0.17939949493011817,1.1685088368814935,0.22015928516471037
pairwise,tfidf,1,3,2,outer_test,random_mismatch,459,475,False,True,5.090954530535439,1.638316105092848,1.4702740905254972,2.5140399456960876,2.645816459701942,1.255796464510827,1.7527632553222403,1.761274281317683
pairwise,tfidf,1,3,2,outer_test,random_mismatch,474,447,False,True,1.8149966456999238,0.6361546578286059,0.8482350522262483,0.0,0.0,0.8969974746505908,1.1685088368814935,0.0
pairwise,tfidf,1,3,2,outer_test,random_mismatch,475,439,False,True,0.4894399453304654,0.28757676312799996,0.22619601392699956,0.0,0.0,0.23919932657349088,0.0,0.22015928516471037
