representation,repeat,prediction_scope,metric,estimate,r2,delta_mse,mae,rmse,spearman_rho,target_mse,null_mse,r2_defined,n_participants,interpretation_scope
tfidf,1,outer_test,rmse,0.41411478468381857,0.23482128819950943,0.05262790221918398,0.3503892412534352,0.41411478468381857,0.3781296326798799,0.1714910548937254,0.22411895711290938,True,142,label_only_common_outcome_alignment_benchmark
tfidf,1,outer_test,spearman_rho,0.3781296326798799,0.23482128819950943,0.05262790221918398,0.3503892412534352,0.41411478468381857,0.3781296326798799,0.1714910548937254,0.22411895711290938,True,142,label_only_common_outcome_alignment_benchmark
tfidf,2,outer_test,r2,0.19263231007699744,0.19263231007699744,0.0439212636385502,0.3601305979869358,0.42905061571132663,0.4074550831056212,0.18408443084226847,0.22800569448081867,True,142,label_only_common_outcome_alignment_benchmark
tfidf,2,outer_test,delta_mse,0.0439212636385502,0.19263231007699744,0.0439212636385502,0.3601305979869358,0.42905061571132663,0.4074550831056212,0.18408443084226847,0.22800569448081867,True,142,label_only_common_outcome_alignment_benchmark
tfidf,2,outer_test,mae,0.3601305979869358,0.19263231007699744,0.0439212636385502,0.3601305979869358,0.42905061571132663,0.4074550831056212,0.18408443084226847,0.22800569448081867,True,142,label_only_common_outcome_alignment_benchmark
tfidf,2,outer_test,rmse,0.42905061571132663,0.19263231007699744,0.0439212636385502,0.3601305979869358,0.42905061571132663,0.4074550831056212,0.18408443084226847,0.22800569448081867,True,142,label_only_common_outcome_alignment_benchmark
tfidf,2,outer_test,spearman_rho,0.4074550831056212,0.19263231007699744,0.0439212636385502,0.3601305979869358,0.42905061571132663,0.4074550831056212,0.18408443084226847,0.22800569448081867,True,142,label_only_common_outcome_alignment_benchmark
tfidf,3,outer_test,r2,0.24720878482910413,0.24720878482910413,0.052386359507081315,0.3397795281262466,0.3994058584591017,0.4095155279703195,0.15952503977145197,0.21191139927853328,True,142,label_only_common_outcome_alignment_benchmark
tfidf,3,outer_test,delta_mse,0.052386359507081315,0.24720878482910413,0.052386359507081315,0.3397795281262466,0.3994058584591017,0.4095155279703195,0.15952503977145197,0.21191139927853328,True,142,label_only_common_outcome_alignment_benchmark
tfidf,3,outer_test,mae,0.3397795281262466,0.24720878482910413,0.052386359507081315,0.3397795281262466,0.3994058584591017,0.4095155279703195,0.15952503977145197,0.21191139927853328,True,142,label_only_common_outcome_alignment_benchmark
tfidf,3,outer_test,rmse,0.3994058584591017,0.24720878482910413,0.052386359507081315,0.3397795281262466,0.3994058584591017,0.4095155279703195,0.15952503977145197,0.21191139927853328,True,142,label_only_common_outcome_alignment_benchmark
tfidf,3,outer_test,spearman_rho,0.4095155279703195,0.24720878482910413,0.052386359507081315,0.3397795281262466,0.3994058584591017,0.4095155279703195,0.15952503977145197,0.21191139927853328,True,142,label_only_common_outcome_alignment_benchmark
tfidf,4,outer_test,r2,0.2113280998658632,0.2113280998658632,0.04648308345258889,0.3528360059307349,0.41650193583871675,0.31328473056505257,0.17347386255739852,0.21995694600998741,True,142,label_only_common_outcome_alignment_benchmark
tfidf,4,outer_test,delta_mse,0.04648308345258889,0.2113280998658632,0.04648308345258889,0.3528360059307349,0.41650193583871675,0.31328473056505257,0.17347386255739852,0.21995694600998741,True,142,label_only_common_outcome_alignment_benchmark
tfidf,4,outer_test,mae,0.3528360059307349,0.2113280998658632,0.04648308345258889,0.3528360059307349,0.41650193583871675,0.31328473056505257,0.17347386255739852,0.21995694600998741,True,142,label_only_common_outcome_alignment_benchmark
tfidf,4,outer_test,rmse,0.41650193583871675,0.2113280998658632,0.04648308345258889,0.3528360059307349,0.41650193583871675,0.31328473056505257,0.17347386255739852,0.21995694600998741,True,142,label_only_common_outcome_alignment_benchmark
tfidf,4,outer_test,spearman_rho,0.31328473056505257,0.2113280998658632,0.04648308345258889,0.3528360059307349,0.41650193583871675,0.31328473056505257,0.17347386255739852,0.21995694600998741,True,142,label_only_common_outcome_alignment_benchmark
tfidf,5,outer_test,r2,0.21610197591518876,0.21610197591518876,0.04961701249385478,0.35843014416988683,0.42424401240678533,0.278280390092141,0.17998298206300864,0.22959999455686342,True,142,label_only_common_outcome_alignment_benchmark
tfidf,5,outer_test,delta_mse,0.04961701249385478,0.21610197591518876,0.04961701249385478,0.35843014416988683,0.42424401240678533,0.278280390092141,0.17998298206300864,0.22959999455686342,True,142,label_only_common_outcome_alignment_benchmark
