representation,repeat,draw,domain_type,r2,mae,rmse,spearman_rho,mse_improvement,target_mse,null_mse,interpretation_scope
tfidf,1,35,fake,0.7652122317634723,0.1860004870760599,0.2293913463059103,0.8993945820436682,0.7652122317634723,0.052620389760038064,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,36,fake,0.7608074534346694,0.18664901367145417,0.23153311660624906,0.89147322560568,0.7608074534346694,0.05360758408540293,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,37,fake,0.7630646444996457,0.18673113033862962,0.2304380714593746,0.8952327265183124,0.7630646444996457,0.053101704777915835,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,38,fake,0.7609635738721171,0.18835542110130452,0.23145754370030397,0.8939627947719049,0.7609635738721171,0.05357259453577812,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,39,fake,0.7531778311364765,0.18963941594724748,0.23519678373234465,0.8870389424779597,0.7531778311364765,0.055317527078039296,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,40,fake,0.7557410561469482,0.19080503605638985,0.233972348284678,0.8936149256796545,0.7557410561469482,0.05474305976184666,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,41,fake,0.7532294332515733,0.18955385261593313,0.235172196625832,0.8949519165281826,0.7532294332515733,0.05530596206581899,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,42,fake,0.7498405216177422,0.1898661600388905,0.2367815056268986,0.8805174447967377,0.7498405216177422,0.05606548140694101,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,43,fake,0.7636891052501481,0.18500639154850987,0.23013420277254598,0.8920977134941774,0.7636891052501481,0.05296175128575531,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,44,fake,0.7566762915419194,0.18827516042232512,0.23352399401447085,0.892479112137488,0.7566762915419194,0.05453345578047062,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,45,fake,0.7504280406648172,0.19253329546265213,0.23650329226213027,0.8851906259757625,0.7504280406648172,0.055933807250826605,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,46,fake,0.7619639774556641,0.18861824098110633,0.2309726934681707,0.8915235199322704,0.7619639774556641,0.053348385127941544,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,47,fake,0.7606327288408798,0.18819557318484545,0.23161766594788274,0.8987449469918753,0.7606327288408798,0.05364674317914501,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,48,fake,0.7551234843070697,0.18963778699096867,0.2342679434291908,0.8935897785163592,0.7551234843070697,0.054881469318542535,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,49,fake,0.7552094835234405,0.19043069289324205,0.23422680304324048,0.8899015278997299,0.7552094835234405,0.05486219526385697,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,50,fake,0.763869890301244,0.18629895743700087,0.23004615608316972,0.8966870707955515,0.763869890301244,0.052921233928642085,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,51,fake,0.7695154868532297,0.18024275196850106,0.22727945071460115,0.9003040711161779,0.7695154868532297,0.05165594871713081,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,52,fake,0.76226580066781,0.1867843474263886,0.2308262134689276,0.8990425217575352,0.76226580066781,0.05328074082440293,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,53,fake,0.7526571030990029,0.19143620803308475,0.2354447538229241,0.8857270987927267,0.7526571030990029,0.055434232102737326,0.22411895711290938,real_D_vs_fake_D_negative_control
